order_id,customer_id,order_date,status,updated_at
1,336,2026-07-01,COMPLETE,2026-07-01
2,390,2026-07-01,CANCELLED,2026-07-01
3,447,2026-07-01,COMPLETE,2026-07-01
4,727,2026-07-01,CANCELLED,2026-07-01
5,821,2026-07-01,CANCELLED,2026-07-01
6,447,2026-07-01,CANCELLED,2026-07-01
7,227,2026-07-01,PENDING,2026-07-01
8,544,2026-07-01,CANCELLED,2026-07-01
9,242,2026-07-01,COMPLETE,2026-07-01
10,779,2026-07-01,CANCELLED,2026-07-01
11,698,2026-07-01,CANCELLED,2026-07-01
12,453,2026-07-01,CANCELLED,2026-07-01
13,318,2026-07-01,PENDING,2026-07-01
14,630,2026-07-01,CANCELLED,2026-07-01
15,330,2026-07-01,CANCELLED,2026-07-01
16,732,2026-07-01,COMPLETE,2026-07-01
17,373,2026-07-01,PENDING,2026-07-01
18,809,2026-07-01,CANCELLED,2026-07-01
19,742,2026-07-01,CANCELLED,2026-07-01
20,991,2026-07-01,CANCELLED,2026-07-01
21,659,2026-07-01,PENDING,2026-07-01
22,521,2026-07-01,PENDING,2026-07-01
23,350,2026-07-01,PENDING,2026-07-01
24,303,2026-07-01,COMPLETE,2026-07-01
25,612,2026-07-01,PENDING,2026-07-01
26,739,2026-07-01,PENDING,2026-07-01
27,993,2026-07-01,PENDING,2026-07-01
28,377,2026-07-01,CANCELLED,2026-07-01
29,990,2026-07-01,COMPLETE,2026-07-01
30,657,2026-07-01,PENDING,2026-07-01
31,86,2026-07-01,COMPLETE,2026-07-01
32,837,2026-07-01,PENDING,2026-07-01
33,242,2026-07-01,PENDING,2026-07-01
34,954,2026-07-01,COMPLETE,2026-07-01
35,778,2026-07-01,CANCELLED,2026-07-01
36,221,2026-07-01,COMPLETE,2026-07-01
37,125,2026-07-01,COMPLETE,2026-07-01
38,114,2026-07-01,PENDING,2026-07-01
39,299,2026-07-01,PENDING,2026-07-01
40,192,2026-07-01,CANCELLED,2026-07-01
41,400,2026-07-01,PENDING,2026-07-01
42,766,2026-07-01,COMPLETE,2026-07-01
43,137,2026-07-01,COMPLETE,2026-07-01
44,713,2026-07-01,PENDING,2026-07-01
45,811,2026-07-01,COMPLETE,2026-07-01
46,835,2026-07-01,CANCELLED,2026-07-01
47,883,2026-07-01,COMPLETE,2026-07-01
48,917,2026-07-01,PENDING,2026-07-01
49,821,2026-07-01,COMPLETE,2026-07-01
50,106,2026-07-01,COMPLETE,2026-07-01
51,171,2026-07-01,CANCELLED,2026-07-01
52,282,2026-07-01,CANCELLED,2026-07-01
53,976,2026-07-01,COMPLETE,2026-07-01
54,69,2026-07-01,COMPLETE,2026-07-01
55,972,2026-07-01,PENDING,2026-07-01
56,408,2026-07-01,PENDING,2026-07-01
57,936,2026-07-01,CANCELLED,2026-07-01
58,220,2026-07-01,CANCELLED,2026-07-01
59,463,2026-07-01,COMPLETE,2026-07-01
60,564,2026-07-01,CANCELLED,2026-07-01
61,125,2026-07-01,COMPLETE,2026-07-01
62,568,2026-07-01,CANCELLED,2026-07-01
63,317,2026-07-01,PENDING,2026-07-01
64,129,2026-07-01,PENDING,2026-07-01
65,787,2026-07-01,COMPLETE,2026-07-01
66,169,2026-07-01,COMPLETE,2026-07-01
67,257,2026-07-01,COMPLETE,2026-07-01
68,607,2026-07-01,CANCELLED,2026-07-01
69,863,2026-07-01,CANCELLED,2026-07-01
70,667,2026-07-01,COMPLETE,2026-07-01
71,495,2026-07-01,COMPLETE,2026-07-01
72,426,2026-07-01,PENDING,2026-07-01
73,752,2026-07-01,PENDING,2026-07-01
74,248,2026-07-01,PENDING,2026-07-01
75,100,2026-07-01,COMPLETE,2026-07-01
76,957,2026-07-01,CANCELLED,2026-07-01
77,901,2026-07-01,PENDING,2026-07-01
78,221,2026-07-01,CANCELLED,2026-07-01
79,293,2026-07-01,CANCELLED,2026-07-01
80,745,2026-07-01,PENDING,2026-07-01
81,372,2026-07-01,CANCELLED,2026-07-01
82,846,2026-07-01,CANCELLED,2026-07-01
83,774,2026-07-01,COMPLETE,2026-07-01
84,47,2026-07-01,COMPLETE,2026-07-01
85,153,2026-07-01,CANCELLED,2026-07-01
86,608,2026-07-01,PENDING,2026-07-01
87,340,2026-07-01,CANCELLED,2026-07-01
88,612,2026-07-01,PENDING,2026-07-01
89,598,2026-07-01,PENDING,2026-07-01
90,842,2026-07-01,CANCELLED,2026-07-01
91,196,2026-07-01,COMPLETE,2026-07-01
92,421,2026-07-01,CANCELLED,2026-07-01
93,679,2026-07-01,PENDING,2026-07-01
94,693,2026-07-01,CANCELLED,2026-07-01
95,231,2026-07-01,PENDING,2026-07-01
96,358,2026-07-01,CANCELLED,2026-07-01
97,839,2026-07-01,PENDING,2026-07-01
98,355,2026-07-01,PENDING,2026-07-01
99,141,2026-07-01,COMPLETE,2026-07-01
100,54,2026-07-01,COMPLETE,2026-07-01
